acrimonious,しんらつな,とげとげしい,レベル:22
admonish,さとす,注意する,忠告する,警告する,気づかせる,レベル:11, 英検:1級以上の単語
adverse,逆らう,反対の,(…に)反対で,反して,不利な,不運な,(…に)不利で,レベル:8, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:860点以上の単語
advocate,主唱者,唱道者,代弁者,レベル:5, 英検:2級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:600点以上の単語, 大学入試:難関大対策レベル
afflict,(精神的・肉体的に)苦しめる,悩ます,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
affluent,富裕な,豊富な,(…が)豊かで,豊富で,レベル:8, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:860点以上の単語
amicable,友好的な,平和的な,レベル:17
arbitrary,任意の,恣意(しい)的な,勝手な,独断的な,専横な,レベル:6, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
ascend,(上方に)登る,上がる,立ちのぼる,上りになる,騰貴する,(地位的に)向上する,レベル:5, 英検:2級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:600点以上の単語, 大学入試:難関大対策レベル
asset,資産,(個人・会社の)財産,有利なもの,利点,強み,レベル:6, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
astute,明敏な,機敏な,抜けめのない,ずるい,(…に)抜けめがなくて,レベル:11, 英検:1級以上の単語
besiege,包囲する,攻囲する,(…に)押し寄せる,殺到する,悩ます,襲う,レベル:11, 英検:1級以上の単語
bigot,(宗教・人種・政治などについて)がんこな偏見をもつ人,偏屈者,レベル:14
blatant,騒々しい,(しつこくて)やかましい,けばけばしい,あくどい,見えすいた,露骨な,はなはだしい,ずうずうしい,レベル:11, 英検:1級以上の単語
chagrin,無念,悔しさ,レベル:16
clandestine,(悪だくみなどを秘めた)内々の,秘密の,レベル:11, 英検:1級以上の単語
coerce,強制してさせる,強要する,強いる,(暴力・権威などによって)抑圧する,支配する,レベル:11, 英検:1級以上の単語
cognizant,(…を)認識して,知って,レベル:13
comprehensive,包括的な,広い,理解力のある,わかりのよい,レベル:5, 英検:2級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:600点以上の単語, 大学入試:難関大対策レベル
concur,一致する,同意する,同時に起こる,(…と)同時に起こる,一緒になってする,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
confidant(e),confidant の女性形,レベル:18
conjecture,推量,推測,憶測,推測した意見,推論,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
consternation,(ぼう然とさせるような)ひどい驚き,仰天,レベル:12, 英検:1級以上の単語
construe,(…を)(…と)解釈する,(特に,ギリシャ・ラテン語を訳す時などに)解剖する,(…と)文法的に結びつける,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
corroborate,(新たな証拠などによって)強める,確証する,レベル:11, 英検:1級以上の単語
culprit,犯人,犯罪者,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
deride,(…を)あざける,あざ笑う,ばかにする,レベル:11, 英検:1級以上の単語
desist,(…を)やめる,思いとどまる,レベル:17
discern,(…を)(目ではっきり)見つける,はっきりと認める,わかる,見分ける,識別する,(…を)(…と)見分ける,レベル:6, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
disparage,(…を)軽蔑する,見くびる,(…を)けなす,そしる,レベル:12, 英検:1級以上の単語
distraught,(…で)ひどく取り乱して,気の狂った,レベル:11, 英検:1級以上の単語
doleful,悲しげな,悲しい,憂いに沈んだ,陰うつな,レベル:24
domicile,住まい,家,住所,レベル:12, 英検:1級以上の単語
dubious,疑っている,不審に思っている,疑ぐるような,(…を)疑わしく思って,怪しいと思って,(…か)疑問に思って,はっきりわからなくて,いかがわしい,うさんくさい,真意のはっきりしない,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
duplicity,二枚舌(を使うこと),二心(あること),欺瞞(ぎまん),偽り,レベル:18
duress,監禁,拘束,強迫,強要,レベル:14
effigy,肖像,彫像,(のろおうとする人の姿に模した)似姿,人形(ひとがた),レベル:15
egregious,実にひどい,言語道断な,とてつもない,レベル:13
elapse,経過する,たつ,レベル:13
elicit,引き出す,誘い出す,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
elusive,(巧みに)逃げを打つ,うまく逃げる,(なかなか)わかりにくい,記憶しにくい,つかまえどころのない,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
emaciated,"異常なほどやせ衰えた, やつれた",レベル：25
emaciated,"異常なほどやせ衰えた, やつれた",レベル：25
engrossed,熱中した,夢中になった,(…に)熱中して,夢中になって,レベル:16
entourage,側近,随員たち,レベル:11, 英検:1級以上の単語
eschew,(…を)(意図的に)避ける,慎む,レベル:11, 英検:1級以上の単語
ethics,倫理学,(個人・ある社会・職業の)道徳原理,倫理,道義,徳義,レベル:8, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:860点以上の単語
exacerbate,悪化させる,激化させる,憤激させる,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
excruciating,責め苦にかけられるような,激しい,耐えがたい,猛烈な,非常な,極度の
extortion,強要,強奪,無理取り,ゆすり,強要行為,レベル:13
feasible,実行できる,うまくいきそうな,もっともらしい,ありそうな,(…に)適して,便利で,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
fiasco,(野心的な企てがこっけいな結果で終わるような)大失敗,レベル:11, 英検:1級以上の単語
flagrant,紛れもない,名うての,目にあまる,はなはだしい,レベル:11, 英検:1級以上の単語
flout,ばかにする,無視する,レベル:23
forthwith,直ちに,レベル:17
fray,争い,けんか,論争,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
fretful,いらいらする,腹立ちやすい,怒りっぽい,気難しい,レベル:24
fruitless,実を結ばない,実らない,結果を生じない,無益な,むなしい,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
frustrate,挫折(ざせつ)させる,失敗させる,(…を)妨げる,くじく,負かす,挫折感を起こさせる,レベル:5, 英検:2級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:600点以上の単語, 大学入試:難関大対策レベル
garbled,事実を曲げた,(しどろもどろで)不明瞭な,要領を得ない,レベル:22
harass,(しつこく)悩ます,困らせる,うるさがらせる,苦しめる,(間断なく攻撃して)(…を)悩ます,レベル:7, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
harbinger,先駆者,先ぶれ,前兆,レベル:14
histrionics,演劇,演芸,(芝居がかった)しぐさ,レベル:27
imminent,今にも起こりそうな,差し迫った,切迫した,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
implacable,なだめられない,和解しにくい,執念深い,容赦のない,レベル:11, 英検:1級以上の単語
impresario,(歌劇・バレエ・音楽会などの)興行主,座元,(一座の)監督,指揮者,経営者,レベル:20
impunity,刑罰を受けないこと,レベル:11, 英検:1級以上の単語
inane,からの,うつろの,意味のない,ばかげた,レベル:17
inclement,(寒さまたは風雨のために)不良な,荒れ模様の
indigent,貧乏な,レベル:15
ineffectual,効果のない,むだな,無能な,無力な,レベル:13
inert,自動力のない,不活性な,化学作用を起こさない,鈍い,緩慢な,不活発な,のろい,レベル:11, 英検:1級以上の単語
inexorable,冷酷な,容赦のない,曲げられない,動かしえない,レベル:12, 英検:1級以上の単語
interject,(話し半ばに)不意にさしはさむ,レベル:17
inundate,氾濫(はんらん)させる,水浸しにする,(大水のように)押し寄せる,殺到する,(…を)(…で)満たす,充満する,あふれさせる,レベル:11, 英検:1級以上の単語
jurisdiction,司法権,裁判権,支配(権),管轄,権限,管轄権,管轄区,管区,レベル:8, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:860点以上の単語
laudable,称賛するに足る,見上げた,あっぱれな,レベル:12, 英検:1級以上の単語
lax,厳しくない,手ぬるい,だらしのない,(…に)だらしなくて,ゆるい,目のつんでない,力の弱い,正確でない,あいまいな,ゆるんでいる,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
loath,気が進まないで,レベル:17
lurid,燃えるように赤い,赤く輝く,けばけばしい,毒々しい,不気味な,恐ろしい,ぞっとするような,レベル:11, 英検:1級以上の単語
malady,病気,病弊,弊害,レベル:11, 英検:1級以上の単語
malignant,悪意のある,きわめて有害な,悪性の,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
malnutrition,栄養失調,レベル:12, 英検:1級以上の単語
masticate,かむ,かみこなす,レベル:30
mastiff,マスチフ(犬),レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
meticulous,細かいことによく気を配る,きちょうめんな,小心な,(…に)きわめて慎重で,極端に細かすぎて,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
monolithic,一本石の(ような),がっしりとかたまっている,一枚岩的な,完全に統制された,画一主義的な,レベル:13
nefarious,極悪な,ふらちな,非道な,レベル:17
obsess,取りつく,取りついて悩ます,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
obsolescence,すたれかけていること,(器官の)退行,萎縮,レベル:16
obviate,除去する,予防する,不要にする,レベル:13
oust,追い出す,レベル:11, 英検:1級以上の単語
paroxysm,(周期的な)発作,(感情の)激発,レベル:24
paucity,少数,少量,不足,レベル:12, 英検:1級以上の単語
perfunctory,おざなりの,いいかげんな,やる気のない,熱のない,レベル:13
pernicious,有害な,致命的な,(…に)有害で,致命的で,レベル:11, 英検:1級以上の単語
pertinent,適切な,しっくりとした,(…に)適切で,関係する,関連する,(…に)関係して,関連して,レベル:7, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
peruse,(…を)熟読する,精読する,(…を)読む,レベル:11, 英検:1級以上の単語
perverse,(理も非もなく)強情を張る,非を認めない,あまのじゃくな,いこじな,つむじ曲がりの,ひねくれた,思うようにならない,意地の悪い,正道を踏みはずした,誤っている,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
phlegmatic,たんの多い,粘液質の,冷淡な,無気力な,レベル:26
poignant,胸を刺すような,激しい,強烈な,強く心に訴える,しんらつな,鋭い,つんと鼻にくる,ぴりっと辛い,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
precocious,早熟の,ませた,発達の早い,早咲きの,早なりの,レベル:11, 英検:1級以上の単語
premonition,(何かよくないことが起こるという)予感,予告,予感,レベル:12, 英検:1級以上の単語
privation,"(必要最低限なものの)欠乏, 喪失",レベル：20
quell,鎮める,鎮圧する,抑える,レベル:11, 英検:1級以上の単語
quip,警句,気のきいた言葉,しんらつな言葉,皮肉,レベル:11, 英検:1級以上の単語
rampant,激しい,自由奔放な,流行する,はびこる,後足で立ち上がった,レベル:11, 英検:1級以上の単語
rash,気の早い,早まった,無謀な,向こう見ずな,無分別な,向こう見ずで,無分別で,レベル:6, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
recoil,(驚き・恐怖などで)あとずさりする,ひるむ,後退する,はね返る,あと戻りする,(発射後に)後座する,(…に)はね返る,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
remote,(距離的に)遠い,遠方の,遠隔の,人里離れた,へんぴな,遠く離れて,(時間的に)遠い,遠い昔の,関係の薄い,間接的な,レベル:3, 英検:準2級以上の単語, 学校レベル:高校2年以上の水準, TOEIC® LRスコア:470点以上の単語, 大学入試:センター試験対策レベル
reprehensible,非難すべき,ふらちな,レベル:14
respite,一時的休止,ひと休み,休息期間,(債務などの)猶予,延期,(死刑の)執行猶予,レベル:11, 英検:1級以上の単語
reverberating,reverberateの現在分詞。反響する,レベル:11, 英検:1級以上の単語
revert,帰る,逆戻りする,戻る,立ち戻って説く,再び考える,(…に)復帰する,(…に)先祖返りする,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
salient,顕著な,目立った,突出した,凸角(とつかく)の,はねる,跳ぶ,噴出する,レベル:11, 英検:1級以上の単語
sally,打って出る,(逆襲的に)出撃する,さっそうと出ていく,レベル:16
sanctuary,神聖な場所,聖所,聖壇,至聖所,(逃げ込めば法律の力が及ばなかった中世の教会などの)聖域,避難所,(犯罪人・亡命者などの)逃げ込み場所,(教会などの)罪人庇護(ひご)権,(避難所が提供する)庇護,保護,レベル:8, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:860点以上の単語
sanguine,"陽気な, 楽天的な",レベル：11,英検：1級以上の単語
scrutinize,(…を)細かい所まで徹底的に調べる,綿密に検査する,(…を)じっと見る,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
sinister,不吉な,縁起の悪い,悪意のある,邪悪な,(盾(たて)の紋地の)左側の,レベル:7, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
skirmish,"小競り合い, 小論争",レベル：11,英検：1級以上の単語
solicit,(…を)懇請する,せがむ,(…に)(…を)懇請する,(…を)(贈賄して)悪事に誘う,誘う,声をかける,レベル:7, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
spew,吐く,吹き出す,ぶちまける,レベル:13
sporadic,時々起こる,散発性の,孤立した,散在する,まばらの,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
squeamish,(ちょっとしたことでも)ショックを受ける,(道徳的に)潔癖すぎる,気難しい,すぐに吐き気を催す,むかつきやすい,レベル:12, 英検:1級以上の単語
stymie,スタイミー,窮境,レベル:23
succumb,屈服する,負ける,倒れる,死ぬ,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
surge,波のように押し寄せる,波打つ,揺れる,わき立つ,渦巻く,レベル:8, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:860点以上の単語
symptomatic,徴候的な,前兆となる,(…を)表わして,レベル:14
terminate,終える,終結する,(…の)終わりをなす,限る,(…の)境をなす,レベル:6, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
thwart,妨害する,じゃまする,(…に)反対する,レベル:11, 英検:1級以上の単語
tolerate,(…を)大目に見る,黙って許す,寛大に取り扱う,大目に見る,(…を)我慢する,我慢して同席する,耐性がある,かぶれない,レベル:5, 英検:2級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:600点以上の単語, 大学入試:難関大対策レベル
tranquil,静かな,穏やかな,平穏な,平静な,落ち着いた,レベル:8, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:860点以上の単語
turbulent,荒れ狂う,かき乱された,激しい,騒々しい,乱暴な,レベル:9, 英検:1級以上の単語, 学校レベル:大学院以上の水準, TOEIC® LRスコア:950点以上の単語
ubiquitous,(同時に)至る所にある,遍在する,至る所に姿を現わす,レベル:10, 英検:1級以上の単語, 学校レベル:大学院以上の水準
venom,(毒ヘビ・サソリ・ハチなどが分泌する)毒液,悪意,恨み,激しい憎しみ,レベル:12, 英検:1級以上の単語
vexatious,煩わしい,じれったい,腹立たしい,いまいましい,レベル:24
virulent,猛毒のある,劇毒性の,毒気を含んだ,敵意に満ちた,悪意のある,しんらつな,悪性の,レベル:12, 英検:1級以上の単語
voluble,弁舌のさわやかな,口達者な,おしゃべりな,流暢(りゆうちよう)な,レベル:14
wan,(病気・悩みなどで)血の気のない,青ざめた,病弱な,弱々しい,力のない,レベル:11, 英検:1級以上の単語
zealous,熱心な,熱狂的な,(…を)熱望して,(…に)熱中して,熱望して,レベル:6, 英検:準1級以上の単語, 学校レベル:大学以上の水準, TOEIC® LRスコア:730点以上の単語, 大学入試:最難関大対策レベル
###可変長###
